species	sample_key	GTDB_214	sample	element_symbol	element_name	source
anginosus	129a	anginosus	129a	NA	NA	rmarvig
anginosus	70ca	anginosus	070Ca-CMPN001x08_260114_LH00793_B23GCKKLT3	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	rmarvig
anginosus	70ca	anginosus	070Ca-CMPN001x08_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	rmarvig
anginosus	70ca	anginosus	070Ca-CMPN001x08_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	rmarvig
anginosus	NA	NA	SAMEA104042173	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMEA104208644	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMEA11023521	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMEA11023521	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMEA11023521	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMEA111504211	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
anginosus	NA	NA	SAMEA111504211	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMEA114539101	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
anginosus	NA	NA	SAMEA114539101	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMEA114539101	tet(L)	tetracycline efflux MFS transporter Tet(L)	atb
anginosus	NA	NA	SAMEA114539114	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
anginosus	NA	NA	SAMEA114539114	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMEA114539114	tet(L)	tetracycline efflux MFS transporter Tet(L)	atb
anginosus	NA	NA	SAMEA114539135	tet(L)	tetracycline efflux MFS transporter Tet(L)	atb
anginosus	NA	NA	SAMEA114539135	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMEA114539135	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
anginosus	NA	NA	SAMEA114539139	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
anginosus	NA	NA	SAMEA114539139	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMEA114539139	tet(L)	tetracycline efflux MFS transporter Tet(L)	atb
anginosus	NA	NA	SAMEA114539248	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMEA115092732	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMEA115092732	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMEA115092732	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMEA115092732	tet(32)	tetracycline resistance ribosomal protection protein Tet(32)	atb
anginosus	NA	NA	SAMEA115875069	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMEA115875069	tet(L)	tetracycline efflux MFS transporter Tet(L)	atb
anginosus	NA	NA	SAMEA115875069	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMEA115875069	erm(T)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(T)	atb
anginosus	NA	NA	SAMEA3319274	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMEA3319291	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMEA3319291	tet(L)	tetracycline efflux MFS transporter Tet(L)	atb
anginosus	NA	NA	SAMEA3319344	tet(L)	tetracycline efflux MFS transporter Tet(L)	atb
anginosus	NA	NA	SAMEA3319344	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMEA3319344	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMEA3319344	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMEA3319397	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMEA3319397	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMEA3319397	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMEA3594164	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMEA3594195	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMEA3594209	tet(L)	tetracycline efflux MFS transporter Tet(L)	atb
anginosus	NA	NA	SAMEA3594209	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMEA3594226	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMEA3882158	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMEA3882161	tet(32)	tetracycline resistance ribosomal protection protein Tet(32)	atb
anginosus	NA	NA	SAMN04480393	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN04498581	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN04498581	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMN04498581	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN04498581	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN04498604	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN04498604	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMN04498604	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN04498621	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN04498621	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN04498621	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN04498664	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMN04498664	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN04498664	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN04498855	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN04498855	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN04498855	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN12796999	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMN12797003	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN12797004	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN12797006	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN12797006	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN12797006	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMN12797009	tet(L)	tetracycline efflux MFS transporter Tet(L)	atb
anginosus	NA	NA	SAMN12797009	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN12797009	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMN12797024	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN12797024	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN12797026	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN12797026	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMN12797026	erm(T)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(T)	atb
anginosus	NA	NA	SAMN12797027	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN12797027	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMN12797030	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMN12797030	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN12797030	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN12797030	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN12797032	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN12797036	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN12797036	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMN12797039	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN12797039	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN12797039	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN12797042	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN14086703	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN14086703	tet(L)	tetracycline efflux MFS transporter Tet(L)	atb
anginosus	NA	NA	SAMN14086908	tet(L)	tetracycline efflux MFS transporter Tet(L)	atb
anginosus	NA	NA	SAMN14086908	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN14478484	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
